Loch, Basin,Area (km2)
AILORT,1,1.25
AILORT,2,0.25
AILORT,3,2.2
AINORT,1,3.7
AIRDBHAIR,1,0.35
ALINE,1,1.9
ALSH,1,2.3
ALSH,2,23.1
ALSH,3,2.4
ALSH,4,0
BAY,1,15.8
BOISDALE,1,0
BROOM,1,1
BROOM,2,7.3
A' CHAIM BHAIN,1,2.55
A' CHAIM BHAIN,2,5.45
A' CHAIM BHAIN,3,0.200000003
A' CHAIM BHAIN,4,4.1
A' CHAIM BHAIN,5,3.6
A' CHAIM BHAIN,6,0.8
CAMPBELTOWN,1,0
CARRON,1,5.95
CARRON,2,3.45
CARRON,3,15.5
CARRON,4,0
CLAIDH,1,4.75
CRAIGNISH,1,18.75
CRAIGNISH,2,0
CRERAN,1,0.65
CRERAN,2,5.7
CRERAN,3,5.25
CRERAN,4,1.8
DON,1,0.35
DON,2,0.45
DUGHAILL,1,0.85
DUICH,1,11
DUICH,2,0.6
EISHORT,1,0.85
EISHORT,2,1.6
EPORT,1,1.85
EPORT,2,0.35
EPORT,3,1.2
EPORT,4,0.65
EPORT,5,0.1
EPORT,6,0.15
EPORT,7,0.25
EPORT,8,0.15
ERIBOLL,1,25.2
ERISORT,1,0.13
ERISORT,2,0.25
ETIVE,1,0.65
ETIVE,2,0.4
ETIVE,3,4.15
ETIVE,4,1.25
ETIVE,5,5.85
ETIVE,6,15.6
EWE,1,12.45
EWE,2,28.85
EYNORT,1,0.15
EYNORT,2,0.45
EYNORT,3,0.25
EYNORT,4,0.1
EYNORT,5,1.4
FEOCHAN,1,1.1
FEOCHAN,2,1.4
FYNE,1,30
FYNE,2,46.45
GARELOCH,1,2.9
GARELOCH,2,9.6
GOIL,1,8.45
GRESHORNISH,1,3.85
GRIMSHADER,1,0.55
GRUTING VOE,1,5
GRUTING VOE,2,0.75
HOURN,1,30.6
HOURN,2,0.85
HOURN,3,0.75
HOURN,4,1.8
HOURN,5,0.25
INCHARD,1,2.85
INDAAL,1,14.5
LAXFORD,1,7.15
LEURBOST,1,1.1
LEVEN,1,0.5
LEVEN,2,2.2
LEVEN,3,1.15
LEVEN,4,2.55
LEVEN,5,1.4
LINNHE AND EIL,1,21.2
LINNHE AND EIL,2,0.9
LINNHE AND EIL,3,0.85
LINNHE AND EIL,4,7.3
LINNHE AND EIL,5,3.1
LITTLE LOCH BROOM,1,6.45
LITTLE LOCH BROOM,2,15.7
LONG ALSH,1,0.9
LONG ALSH,2,1.25
LONG CLYDE,1,34.45
LONG CLYDE,2,7.85
MELFORT,1,10.6
MOIDART NORTH CHANNEL,1,0.65
MOIDART SOUTH CHANNEL,1,1.65
MOIDART SOUTH CHANNEL,2,2.5
NA CILLE,1,1.5
NA KEAL,1,31.5
NAN CEALL,1,2.75
NEVIS,1,24.5
NEVIS,2,4.9
PORTREE,1,1.95
RONAS VOE,1,1.85
RONAS VOE,2,1.55
RYAN,1,29.4
SCRIDAIN,1,26.9
SEAFORTH,1,14.15
SEAFORTH,2,2.65
SEAFORTH,3,3.8
SHELL,1,5.7
SHELL,2,1.5
SKIPORT,1,0
SKIPORT,2,0
SKIPORT,3,0
SKIPORT,4,0.35
SLAPIN,1,1.2
SLIGACHAN,1,2.1
SNIZORT BEG,1,6.4
SPELVE,1,8.7
STORNOWAY,1,0.7
STORNOWAY,2,0.85
STROMNESS VOE,1,0.95
SULLOM VOE,1,2.7
SUNART,1,3.85
SUNART,2,9.55
SUNART,3,3.35
SUNART,4,1.7
SUNART,5,2.3
SUNART,6,6.3
SWEEN,1,2.7
SWEEN,2,3.55
SWEEN,3,8.35
SWEEN,4,0.95
SWEEN,5,0.1
SWEEN,6,0.5
TAMANAVAY,1,1.85
TARBERT,1,0.3
TARBERT,2,1.25
TARBERT,3,1.7
TEACUIS,1,1.15
TEACUIS,2,0.25
TEACUIS,3,1.2
TORRIDON,1,36.15
TORRIDON,2,18.4
TORRIDON,3,19.9
USKAVAGH,1,1.5
WEST LOCH TARBERT KINTYRE,1,13.2
